Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
1728,1728,632434,75,Centrum-West,Loft,1,1,3
1729,1729,632447,85,Bos en Lommer,Apartment,1,2,2
1730,1730,634722,110,Centrum-West,Apartment,1,1,4
1731,1731,2176435,27,Zuid,Apartment,2,1,20
1732,1732,2163401,90,Westerpark,Apartment,1,1,2
1733,1733,857437,199,Osdorp,House,1.5,3,6
1734,1734,4339481,75,De Baarsjes - Oud-West,Apartment,1,1,2
1735,1735,634671,95,Oud-Noord,Apartment,1,1,4
1736,1736,635212,200,Centrum-West,Boat,1,1,2
1737,1737,635629,100,De Baarsjes - Oud-West,Apartment,1,1,1
1738,1738,5668296,100,Zuid,Apartment,1,1,2
1739,1739,669819,150,Centrum-Oost,Apartment,1,2,2
1740,1740,1948737,150,Centrum-West,Apartment,1,2,2
1741,1741,5115463,90,De Pijp - Rivierenbuurt,Apartment,1,1,2
1742,1742,3871151,100,Buitenveldert - Zuidas,Apartment,1,1,1
1743,1743,4876722,90,Buitenveldert - Zuidas,Apartment,1.5,1,1
1744,1744,636593,199,Centrum-West,Boat,2,2,3
1745,1745,1677883,100,Centrum-West,Other,1,1,2
1746,1746,699955,113,De Baarsjes - Oud-West,Apartment,1,1,3
1747,1747,790705,310,Centrum-Oost,Apartment,1,2,3
1748,1748,638775,150,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,2
1749,1749,3658651,150,Westerpark,Apartment,1,2,2
1750,1750,637742,80,Zuid,Apartment,1,1,2
1751,1751,637761,35,De Baarsjes - Oud-West,House,1,2,1
1752,1752,638302,89,De Baarsjes - Oud-West,Apartment,1,1,2
1753,1753,1942086,120,Centrum-Oost,Apartment,1,2,1
1754,1754,5231919,59,Centrum-Oost,Apartment,1,1,1
1755,1755,5209234,100,Bos en Lommer,Apartment,1,1,3
1756,1756,2097548,150,Noord-West,House,1,2,3
1757,1757,1241916,120,De Pijp - Rivierenbuurt,Apartment,1,2,4
1758,1758,870052,99,De Pijp - Rivierenbuurt,Apartment,1,1,2
1759,1759,1983378,127,Westerpark,Boat,1,1,3
1760,1760,1117251,93,De Pijp - Rivierenbuurt,Apartment,1,1,3
1761,1761,640062,115,Watergraafsmeer,Apartment,1,1,2
1762,1762,640672,85,Zuid,Apartment,1,1,3
1763,1763,3183708,89,Oostelijk Havengebied - Indische Buurt,Apartment,1,2,1
1764,1764,2973423,100,De Pijp - Rivierenbuurt,Apartment,1,1,1
1765,1765,1067630,250,Watergraafsmeer,House,1,1,2
1766,1766,5865168,120,Centrum-Oost,Bed & Breakfast,1,1,1
1767,1767,3854939,175,Centrum-Oost,Boat,1,1,3
1768,1768,989222,130,De Pijp - Rivierenbuurt,Apartment,1,1,3
1769,1769,641875,100,Centrum-West,Apartment,1,1,3
1770,1770,642190,139,Centrum-West,Apartment,1,1,2
1771,1771,4394868,149,Zuid,Apartment,1,1,2
1772,1772,817652,110,Zuid,Apartment,1,2,3
1773,1773,2791120,110,De Pijp - Rivierenbuurt,Apartment,1,1,27
1774,1774,644138,99,Centrum-Oost,House,1,1,2
1775,1775,643739,40,Bijlmer-Centrum,Bed & Breakfast,1,1,1
1776,1776,643845,89,Westerpark,Apartment,1,1,7
1777,1777,644921,89,De Pijp - Rivierenbuurt,Apartment,1,2,2
1778,1778,1410240,172,De Baarsjes - Oud-West,Apartment,1,1,3
1779,1779,645579,140,Centrum-West,Bed & Breakfast,,1,2
1780,1780,645568,110,Centrum-Oost,Bed & Breakfast,,1,1
1781,1781,5821019,116,Oud-Oost,Apartment,1,1,2
1782,1782,1357893,69,Westerpark,Apartment,1,1,2
1783,1783,647027,130,Centrum-Oost,Apartment,1.5,2,7
1784,1784,1410370,85,Oostelijk Havengebied - Indische Buurt,House,1,2,2
1785,1785,792356,79,Centrum-Oost,Apartment,1,1,5
1786,1786,5316421,40,De Baarsjes - Oud-West,Apartment,1.5,1,1
1787,1787,4914656,125,Zuid,Apartment,1,2,2
1788,1788,648503,90,Centrum-West,Apartment,1,1,3
1789,1789,2370537,125,Centrum-West,Apartment,1,2,3
1790,1790,648676,95,De Pijp - Rivierenbuurt,Apartment,1,1,7
1791,1791,648826,125,Centrum-Oost,Apartment,1,1,4
1792,1792,649656,330,Centrum-West,Apartment,2.5,3,3
1793,1793,649830,310,Centrum-West,Apartment,1.5,3,3
1794,1794,1745483,135,Centrum-West,Apartment,1,1,2
1795,1795,1768240,135,Centrum-West,Apartment,1,1,2
1796,1796,3525634,99,Westerpark,Apartment,1,1,1
1797,1797,650154,135,Watergraafsmeer,Apartment,1,2,2
1798,1798,650283,199,IJburg - Zeeburgereiland,House,2,3,3
1799,1799,650245,135,Centrum-West,Apartment,1,1,2
1800,1800,4619263,149,Zuid,Apartment,1,2,2
1801,1801,652888,90,Westerpark,Apartment,1,1,2
1802,1802,730916,65,De Baarsjes - Oud-West,Bed & Breakfast,1,1,2
1803,1803,1084513,175,Centrum-West,Apartment,1,1,1
1804,1804,1616913,65,De Baarsjes - Oud-West,Apartment,1,1,2
1805,1805,652283,170,Zuid,Apartment,2,2,2
1806,1806,764722,100,De Baarsjes - Oud-West,Apartment,1,1,1
1807,1807,936098,160,Centrum-West,Bed & Breakfast,1,1,1
1808,1808,654931,80,Centrum-West,Bed & Breakfast,1,1,1
1809,1809,655216,80,Centrum-West,Bed & Breakfast,1,1,1
1810,1810,652575,90,De Pijp - Rivierenbuurt,House,1,1,2
1811,1811,652758,149,Bos en Lommer,Apartment,1,2,3
1812,1812,693432,143,Centrum-West,Apartment,1,2,7
1813,1813,1213162,97,De Pijp - Rivierenbuurt,Apartment,1,2,3
1814,1814,742268,110,Centrum-West,Apartment,1,1,2
1815,1815,1187347,75,Westerpark,Apartment,1,1,3
1816,1816,4591186,110,Oud-Oost,Apartment,1,2,6
1817,1817,4939154,125,Centrum-West,Apartment,1,1,2
1818,1818,871388,69,De Pijp - Rivierenbuurt,Apartment,1,1,2
1819,1819,4536158,194,Centrum-West,Apartment,1.5,2,5
1820,1820,3838324,200,Westerpark,Apartment,1,1,1
1821,1821,656972,89,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,3
1822,1822,1139498,104,Oud-Noord,Apartment,1,1,2
1823,1823,4260708,95,Oud-Oost,Apartment,1,2,3
1824,1824,3942323,120,Centrum-West,Apartment,1,1,1
1825,1825,657781,100,De Baarsjes - Oud-West,Apartment,1,1,2
1826,1826,963715,89,Bos en Lommer,Apartment,1,1,2
